macroarea,mesoarea,descrição da mesoarea,microarea,macroarea_friendlyname,mesoarea_friendlyname,microarea_friendlyname
biologia,evolucao,"Nesta trilha você estudará as principais teorias evolutivas como o Lamarckismo, Darwinismo e a Teoria Sintética da Evolução. Também aprenderá sobre os critérios da taxonomia e classificação dos seres vivos. Esses conteúdos são recorrentes no ENEM, especialmente em questões que relacionam evolução com ecologia e adaptação.",teoria_sintetica_da_evolucao,Biologia,Evolução,Teoria Sintética da Evolução
biologia,evolucao,"Nesta trilha você estudará as principais teorias evolutivas como o Lamarckismo, Darwinismo e a Teoria Sintética da Evolução. Também aprenderá sobre os critérios da taxonomia e classificação dos seres vivos. Esses conteúdos são recorrentes no ENEM, especialmente em questões que relacionam evolução com ecologia e adaptação.",taxonomia,Biologia,Evolução,Taxonomia
biologia,microbiologia,"A trilha de microbiologia explora os organismos microscópicos como vírus, bactérias, fungos e protozoários. Além da estrutura e função desses organismos, você estudará sua importância ecológica, industrial e médica. O ENEM costuma abordar esse conteúdo em temas relacionados à saúde pública e biotecnologia.",virus,Biologia,Microbiologia,Vírus
biologia,microbiologia,"A trilha de microbiologia explora os organismos microscópicos como vírus, bactérias, fungos e protozoários. Além da estrutura e função desses organismos, você estudará sua importância ecológica, industrial e médica. O ENEM costuma abordar esse conteúdo em temas relacionados à saúde pública e biotecnologia.",bacteria,Biologia,Microbiologia,Bactéria
biologia,microbiologia,"A trilha de microbiologia explora os organismos microscópicos como vírus, bactérias, fungos e protozoários. Além da estrutura e função desses organismos, você estudará sua importância ecológica, industrial e médica. O ENEM costuma abordar esse conteúdo em temas relacionados à saúde pública e biotecnologia.",fungos,Biologia,Microbiologia,Fungos
biologia,microbiologia,"A trilha de microbiologia explora os organismos microscópicos como vírus, bactérias, fungos e protozoários. Além da estrutura e função desses organismos, você estudará sua importância ecológica, industrial e médica. O ENEM costuma abordar esse conteúdo em temas relacionados à saúde pública e biotecnologia.",protoctista,Biologia,Microbiologia,Reino Protoctista (Protozoários e Algas)
biologia,botanica,"Nesta trilha você aprenderá sobre os principais grupos vegetais: briófitas, pteridófitas, gimnospermas e angiospermas. Serão estudadas suas estruturas, ciclos de vida e adaptações ao meio terrestre, além da fisiologia vegetal. Esses temas são cobrados frequentemente no ENEM, especialmente em questões que relacionam plantas com sustentabilidade e ecossistemas.",introducao_a_botanica,Biologia,Botânica,Introdução à Botânica
biologia,botanica,"Nesta trilha você aprenderá sobre os principais grupos vegetais: briófitas, pteridófitas, gimnospermas e angiospermas. Serão estudadas suas estruturas, ciclos de vida e adaptações ao meio terrestre, além da fisiologia vegetal. Esses temas são cobrados frequentemente no ENEM, especialmente em questões que relacionam plantas com sustentabilidade e ecossistemas.",briofitas,Biologia,Botânica,Briófitas
biologia,botanica,"Nesta trilha você aprenderá sobre os principais grupos vegetais: briófitas, pteridófitas, gimnospermas e angiospermas. Serão estudadas suas estruturas, ciclos de vida e adaptações ao meio terrestre, além da fisiologia vegetal. Esses temas são cobrados frequentemente no ENEM, especialmente em questões que relacionam plantas com sustentabilidade e ecossistemas.",pteridofiras,Biologia,Botânica,Pteridófiras
biologia,botanica,"Nesta trilha você aprenderá sobre os principais grupos vegetais: briófitas, pteridófitas, gimnospermas e angiospermas. Serão estudadas suas estruturas, ciclos de vida e adaptações ao meio terrestre, além da fisiologia vegetal. Esses temas são cobrados frequentemente no ENEM, especialmente em questões que relacionam plantas com sustentabilidade e ecossistemas.",gimnospermas,Biologia,Botânica,Gimnospermas
biologia,botanica,"Nesta trilha você aprenderá sobre os principais grupos vegetais: briófitas, pteridófitas, gimnospermas e angiospermas. Serão estudadas suas estruturas, ciclos de vida e adaptações ao meio terrestre, além da fisiologia vegetal. Esses temas são cobrados frequentemente no ENEM, especialmente em questões que relacionam plantas com sustentabilidade e ecossistemas.",angiospermas,Biologia,Botânica,Angiospermas
biologia,botanica,"Nesta trilha você aprenderá sobre os principais grupos vegetais: briófitas, pteridófitas, gimnospermas e angiospermas. Serão estudadas suas estruturas, ciclos de vida e adaptações ao meio terrestre, além da fisiologia vegetal. Esses temas são cobrados frequentemente no ENEM, especialmente em questões que relacionam plantas com sustentabilidade e ecossistemas.",fisiologia_vegetal,Biologia,Botânica,Fisiologia Vegetal
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",introducao_a_embriologia,Biologia,Embriologia e Zoologia,Introdução à Embriologia
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",embriologia,Biologia,Embriologia e Zoologia,Embriologia
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",poriferos_e_cnidarios,Biologia,Embriologia e Zoologia,Poríferos e Cnidários
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",platelmintos,Biologia,Embriologia e Zoologia,Platelmintos
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",nematelmintos,Biologia,Embriologia e Zoologia,Nematelmintos
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",anelideos_e_moluscos,Biologia,Embriologia e Zoologia,Anelídeos e Moluscos
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",artropodes_e_equinodermos,Biologia,Embriologia e Zoologia,Artrópodes e Equinodermos
biologia,embriologia_e_zoologia,"Essa trilha combina o estudo do desenvolvimento dos seres vivos (embriologia) com a zoologia, abordando os principais filos animais, como poríferos, cnidários, plateomintos, nematelmintos, anelídeos, moluscos, artrópodes, equinodermos e cordados. É um conteúdo fundamental para compreender a diversidade biológica e evolução animal.",cordados,Biologia,Embriologia e Zoologia,Cordados
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",introducao_a_histologia,Biologia,Histologia e Fisiologia Humana,Introdução à Histologia
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_epitelial,Biologia,Histologia e Fisiologia Humana,Tecido Epitelial
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_conjuntivo,Biologia,Histologia e Fisiologia Humana,Tecido Conjuntivo
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_adiposo_e_cartilaginoso,Biologia,Histologia e Fisiologia Humana,Tecido Adiposo e Cartilaginoso
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_cartilaginoso,Biologia,Histologia e Fisiologia Humana,Tecido Cartilaginoso
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_sanguineo,Biologia,Histologia e Fisiologia Humana,Tecido Sanguíneo
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_osseo,Biologia,Histologia e Fisiologia Humana,Tecido Ósseo
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_nervoso,Biologia,Histologia e Fisiologia Humana,Tecido Nervoso
biologia,histologia_e_fisiologia_humana,"Nesta trilha você estudará os tecidos que compõem o corpo humano, como os tecidos epitelial, conjuntivo, adiposo, cartilaginoso, ósseo, sanguíneo, nervoso e muscular. A histologia é essencial para entender o funcionamento dos órgãos e sistemas, cobrados com frequência no ENEM em contextos de saúde e qualidade de vida.",tecido_muscular,Biologia,Histologia e Fisiologia Humana,Tecido Muscular
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_digestorio,Biologia,Fisiologia Humana,Sistema Digestório
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_respiratorio,Biologia,Fisiologia Humana,Sistema Respiratório
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_circulatorio,Biologia,Fisiologia Humana,Sistema Circulatório
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_imunologico,Biologia,Fisiologia Humana,Sistema Imunológico
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_endocrino,Biologia,Fisiologia Humana,Sistema Endócrino
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_excretor,Biologia,Fisiologia Humana,Sistema Excretor
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_reprodutor_masculino_e_feminino,Biologia,Fisiologia Humana,Sistema Reprodutor Masculino e Feminino
biologia,fisiologia_humana,"Aqui você estudará o funcionamento dos sistemas do corpo humano: digestório, respiratório, circulatório, imunológico, endócrino, excretor, reprodutor e nervoso. Este é um dos temas mais cobrados na prova do ENEM, especialmente em questões aplicadas ao cotidiano, como doenças, vacinas, metabolismo e comportamento.",sistema_nervoso,Biologia,Fisiologia Humana,Sistema Nervoso
historia,historia_do_brasil,"Estudo das principais fases da história brasileira, da colonização até a Nova República, com foco em aspectos sociais, políticos e econômicos.",periodizacao_do_brasil,História,História do Brasil,Periodização do Brasil
historia,historia_do_brasil,"Análise do processo de colonização, a economia açucareira, escravidão e administração portuguesa.",brasil_colonial,História,História do Brasil,Brasil Colonial
historia,historia_do_brasil,"Estudo das independências, o Primeiro e Segundo Reinado, e os conflitos da época.",brasil_imperio,História,História do Brasil,Brasil Império
historia,historia_do_brasil,"Foco na República Velha, Era Vargas, Ditadura Militar e redemocratização.",brasil_republica,História,História do Brasil,Brasil República
historia,historia_geral,"Abordagem de grandes civilizações, guerras mundiais, revoluções e transformações sociais, úteis para conectar fatos históricos globais com a realidade atual.",idade_media_e_moderna,História,História Geral,Idade Média e Moderna
historia,historia_geral,"Estudo das grandes revoluções modernas (Francesa, Industrial, Russa) e suas consequências globais.",revolucoes_modernas,História,História Geral,Revoluções Modernas
historia,historia_geral,"Temas do século XX como guerras mundiais, Guerra Fria e seus desdobramentos políticos e econômicos.",seculo_20,História,História Geral,Século XX
historia,historia_da_america,"Estudo da colonização e independência da América, com foco em América Latina, Estados Unidos e suas influências no Brasil.",america_colonial,História,História da América,América Colonial
historia,historia_da_america,"Destaques da independência, construção de nações e crises políticas na América Latina e EUA.",america_contemporanea,História,História da América,América Contemporânea
historia,cidadania_e_direitos,"Estudo da construção dos direitos civis, políticos e sociais ao longo do tempo, com foco na cidadania brasileira.",direitos_e_constituicoes,História,Cidadania e Direitos,Direitos e Constituições
geografia,geografia_fisica,"Estudo do relevo, clima, vegetação e hidrografia do Brasil e do mundo, essenciais para interpretar mapas, gráficos e fenômenos naturais no ENEM.",clima_e_relevo,Geografia,Geografia Física,Clima e Relevo
geografia,geografia_fisica,Foco nos biomas brasileiros e sua relação com o clima e relevo.,biomas,Geografia,Geografia Física,Biomas
geografia,geografia_fisica,"Análise dos principais rios, bacias hidrográficas e a gestão das águas.",hidrografia,Geografia,Geografia Física,Hidrografia
geografia,geografia_humana,"Estudo da urbanização, população e distribuição demográfica, fundamentais para entender questões sociais e econômicas.",populacao_e_urbanizacao,Geografia,Geografia Humana,População e Urbanização
geografia,geografia_humana,"Dinâmicas econômicas: setores produtivos, industrialização e globalização.",economia_e_industria,Geografia,Geografia Humana,Economia e Indústria
geografia,geografia_politica,"Questões relacionadas à organização dos territórios, fronteiras, geopolítica e conflitos atuais.",geopolitica_e_conflitos,Geografia,Geografia Política,Geopolítica e Conflitos
geografia,geografia_do_brasil,"Foco nas regiões brasileiras, desigualdades socioeconômicas e estrutura produtiva do país.",regiao_nordeste_e_semiarido,Geografia,Geografia do Brasil,Região Nordeste e Semiárido
geografia,geografia_do_brasil,"Estudo do processo de ocupação, divisão regional e urbanização no Brasil.",regiao_sudeste_e_industria,Geografia,Geografia do Brasil,Região Sudeste e Indústria
geografia,meio_ambiente_e_sustentab,"Estudo dos impactos ambientais, sustentabilidade, políticas de preservação e mudanças climáticas.",impactos_ambientais,Geografia,Meio Ambiente e Sustentabilidade,Impactos Ambientais
geografia,cartografia_e_tecnologia,"Leitura de mapas, escalas, fusos horários e uso de geotecnologias, como GPS e sensoriamento remoto.",cartografia,Geografia,Cartografia e Tecnologia,Cartografia
